year,month,total_trips,avg_trip_distance,fare_amount_sum,extra_sum,tip_amount_sum,payment_type_1_count,payment_type_2_count,payment_type_3_count,payment_type_4_count,payment_type_5_count,payment_type_0_count
2022,02,2979346,3.095361260491397,39107630.88999997,3030993.8299999977,7450697.379999999,2296219,556106,13112,12255,1.0,101653.0
2022,03,3627791,3.3447490938700706,50561566.99999994,3735049.2999999947,9612103.019999992,2784964,693883,15596,15622,1.0,117725.0
2022,04,3599832,3.4754106913878204,52054665.590000026,3641650.5999999954,9733831.020000005,2732538,717682,15227,15597,,118788.0
2022,05,3588176,3.6438700777219375,54424775.65999995,3662673.039999996,10135400.619999994,2720125,706330,16333,15978,,129410.0
2022,06,3558035,3.5860824500040076,54256420.55000003,3632863.749999997,9947485.809999995,2695894,696671,16475,16634,,132361.0
2022,07,3174320,3.6143506892814816,46741817.51999999,3145943.399999998,8477733.599999998,2366541,671836,14520,16302,,105121.0
2022,08,3152609,3.647969078943823,46718190.27,3116721.0999999978,8405680.729999997,2353618,675036,13738,17103,1.0,93113.0
2022,09,3183662,3.6914212187097766,49804641.07999995,3196429.0899999966,9190805.519999994,2416803,611666,16216,22484,,116493.0
2022,10,3675309,3.6061919011435495,56231290.459999986,3630538.7499999963,10508514.48,2806804,680001,21708,33860,,132936.0
2022,11,3252615,3.549113298069401,49307121.07,2712759.910000001,9256396.629999999,2483533,598080,17789,31332,1.0,121880.0
2022,12,3399452,3.553681313929421,-120181759.22000012,3968663.8200000017,188306822.54999998,2553798,660853,21896,36514,1.0,126390.0
2023,01,3066699,3.3678629757925367,56325731.96999998,4716172.72,10328383.360000005,2411450,532236,18023,33297,,71693.0
2023,02,2913879,3.306699502621763,53091511.2,4547120.190000002,9862929.760000007,2309578,477386,18100,32056,,76759.0
2023,03,3403670,3.415214024861401,64357884.03000002,5545130.28,11896622.889999999,2689823,566066,21582,38646,1.0,87552.0
2023,04,3288166,3.517218160518662,63659921.46000002,5162662.3900000015,11548323.740000011,2567643,570413,20413,39061,,90636.0
2023,05,3513548,3.541753569326499,69837356.27999996,5678850.030000001,12683497.65,2758115,589984,21368,42350,,101731.0
2023,06,3307130,3.5763389706482673,66101528.91000001,5360132.340000002,11888763.670000004,2592222,552604,21294,41185,1.0,99824.0
2023,07,2907015,3.606695245810569,57277022.41,4484410.630000002,10019975.159999995,2227544,534097,19698,40637,,85039.0
2023,08,2824125,3.6247365750453673,55686945.95,4459252.44,9632201.72,2151432,524877,18502,41465,,87849.0
2023,09,2846636,3.49151040737207,58842429.96000001,4335139.04,10319910.820000004,2193494,456828,17315,38814,,140185.0
2023,10,3522224,3.4163034889319945,70661436.64999998,5346978.950000004,12795289.18000001,2750616,546597,21245,48869,,154897.0
2023,11,3339680,3.3173267917884335,65628926.99999996,4987160.990000002,12084159.919999992,2630177,507416,21015,48425,,132647.0
2023,12,3376532,3.2935138212817217,66405382.26999999,4989385.200000007,11875388.069999998,2574573,546479,22305,53196,,179979.0
